001356.XSHE,-0.731287
001358.XSHE,0.218091
001359.XSHE,2.066385
001360.XSHE,0.701709
001365.XSHE,0.240318
001366.XSHE,-0.283793
001367.XSHE,-0.417586
001368.XSHE,-0.395405
001369.XSHE,-0.347638
001373.XSHE,0.425734
001376.XSHE,-0.018398
001378.XSHE,-0.109384
001379.XSHE,-0.100205
001380.XSHE,-0.078658
001382.XSHE,-0.377961
001386.XSHE,-0.524578
001387.XSHE,-0.276245
001388.XSHE,-0.110605
001389.XSHE,2.085502
001390.XSHE,-0.557232
001391.XSHE,-0.948435
001393.XSHE,0.406015
001395.XSHE,-0.709758
001396.XSHE,-0.114876
001399.XSHE,1.861521
001400.XSHE,0.335056
001696.XSHE,0.909071
001872.XSHE,-1.653402
001896.XSHE,0.550903
001914.XSHE,-1.22906
001965.XSHE,-1.521838
001979.XSHE,-0.921246
002001.XSHE,-0.9179
002003.XSHE,-1.588584
002004.XSHE,-0.985565
002005.XSHE,-0.845049
002006.XSHE,0.37283
002007.XSHE,-1.048954
002008.XSHE,2.038226
002009.XSHE,0.326363
002010.XSHE,-0.372912
002011.XSHE,-0.217369
002012.XSHE,0.304325
002014.XSHE,-1.266869
002015.XSHE,0.761466
002016.XSHE,-0.793275
002017.XSHE,0.065453
002019.XSHE,-0.656622
002020.XSHE,-0.496211
002021.XSHE,0.28471
002022.XSHE,-0.703538
002023.XSHE,1.034896
002024.XSHE,-0.784559
002025.XSHE,1.05251
002026.XSHE,0.037631
002027.XSHE,-1.247327
002028.XSHE,0.5554
002029.XSHE,-0.170389
002030.XSHE,-0.229687
002031.XSHE,0.237634
002032.XSHE,-1.525083
002033.XSHE,-0.813738
002034.XSHE,-0.307338
002035.XSHE,-1.226619
002036.XSHE,0.561584
002037.XSHE,-0.127598
002038.XSHE,-0.402261
002039.XSHE,-1.146335
002040.XSHE,-1.058623
002041.XSHE,-1.025939
002042.XSHE,0.327572
002043.XSHE,-1.144981
002044.XSHE,0.406671
002045.XSHE,-0.121678
002046.XSHE,1.998835
002047.XSHE,-0.19729
002048.XSHE,0.712983
002049.XSHE,1.021845
002050.XSHE,0.493068
002051.XSHE,0.379089
002052.XSHE,0.107659
002053.XSHE,-0.334953
002054.XSHE,0.034535
002055.XSHE,0.021588
002056.XSHE,1.195841
002057.XSHE,0.739725
002058.XSHE,0.038981
002059.XSHE,-0.848927
002060.XSHE,-1.023317
002061.XSHE,-1.128125
002062.XSHE,0.344325
002063.XSHE,-0.3217
002064.XSHE,-0.313826
002065.XSHE,-0.040134
002066.XSHE,-0.339781
002067.XSHE,0.274043
002068.XSHE,0.965289
002069.XSHE,-0.815369
002072.XSHE,-0.204359
002073.XSHE,-0.580579
002074.XSHE,-0.014947
002075.XSHE,-0.324813
002076.XSHE,-0.10081
002077.XSHE,1.03448
002078.XSHE,-0.930031
002079.XSHE,1.057903
002080.XSHE,2.703021
002081.XSHE,0.748304
002082.XSHE,-1.090777
002083.XSHE,0.44773
002084.XSHE,-0.553577
002085.XSHE,-0.199019
002086.XSHE,-0.445757
002088.XSHE,-0.164339
002090.XSHE,-0.078438
002091.XSHE,-0.75505
002092.XSHE,-1.035608
002093.XSHE,-0.003978
002094.XSHE,-0.490587
002095.XSHE,-0.265978
002096.XSHE,-0.723149
002097.XSHE,-0.276324
